['1399044183', '591.8428', '591.9100', '591.6920', '591.6950', '8800', '2014-05-02 11:23:03']
['1399044241', '591.5700', '591.8750', '591.5600', '591.8200', '7600', '2014-05-02 11:24:01']
['1399044359', '591.2600', '591.6800', '591.2200', '591.6700', '8400', '2014-05-02 11:25:59']
['1399044362', '591.3700', '591.4700', '591.1400', '591.1600', '9000', '2014-05-02 11:26:02']
['1399044420', '591.4900', '591.5700', '591.2800', '591.4500', '7100', '2014-05-02 11:27:00']
['1399044485', '591.1100', '591.5000', '591.1100', '591.4900', '8900', '2014-05-02 11:28:05']
['1399044545', '591.1500', '591.1800', '590.8800', '591.1800', '11600', '2014-05-02 11:29:05']
['1399044601', '591.0100', '591.2900', '591.0100', '591.1900', '6800', '2014-05-02 11:30:01']
['1399044660', '591.3500', '591.5600', '591.0690', '591.0690', '10500', '2014-05-02 11:31:00']
['1399044721', '591.4100', '591.5200', '591.3500', '591.4500', '7200', '2014-05-02 11:32:01']
['1399044782', '591.7090', '591.7100', '591.4000', '591.4800', '18400', '2014-05-02 11:33:02']
['1399044840', '592.2296', '592.3500', '591.6200', '591.6950', '38400', '2014-05-02 11:34:00']
['1399044901', '592.4800', '592.5197', '592.1200', '592.2996', '17500', '2014-05-02 11:35:01']
['1399044961', '592.3500', '592.4500', '592.1730', '592.3304', '12300', '2014-05-02 11:36:01']
['1399045020', '592.6600', '592.7281', '592.3420', '592.3600', '27900', '2014-05-02 11:37:00']
['1399045080', '592.6000', '592.7399', '592.5400', '592.6000', '10300', '2014-05-02 11:38:00']
['1399045141', '592.7050', '592.7600', '592.5100', '592.6460', '12500', '2014-05-02 11:39:01']
['1399045259', '592.3700', '592.7600', '592.3700', '592.7199', '11600', '2014-05-02 11:40:59']
['1399045260', '592.2850', '592.5500', '592.2000', '592.5100', '23600', '2014-05-02 11:41:00']
['1399045321', '592.2100', '592.4200', '592.2000', '592.2600', '10700', '2014-05-02 11:42:01']
['1399045381', '592.5504', '592.6100', '592.2100', '592.2900', '14700', '2014-05-02 11:43:01']
['1399045441', '592.6500', '592.7800', '592.5600', '592.5600', '11800', '2014-05-02 11:44:01']
['1399045508', '592.9800', '593.0265', '592.7000', '592.7000', '33500', '2014-05-02 11:45:08']
['1399045560', '592.9100', '593.0700', '592.8125', '593.0210', '12400', '2014-05-02 11:46:00']
['1399045620', '593.1500', '593.1500', '592.6600', '592.9000', '10000', '2014-05-02 11:47:00']
['1399045684', '592.8800', '593.1500', '592.8000', '593.0700', '14300', '2014-05-02 11:48:04']
['1399045741', '592.9700', '593.1500', '592.6600', '592.8000', '10200', '2014-05-02 11:49:01']
['1399045800', '593.2400', '593.2400', '592.8800', '592.9600', '14000', '2014-05-02 11:50:00']
['1399045867', '593.0300', '593.3100', '593.0300', '593.1404', '10000', '2014-05-02 11:51:07']
['1399045920', '592.8000', '593.2800', '592.8000', '593.1900', '8500', '2014-05-02 11:52:00']
['1399046039', '592.9210', '593.0700', '592.8100', '592.8400', '3400', '2014-05-02 11:53:59']
['1399046040', '592.9650', '593.1200', '592.9000', '592.9600', '11000', '2014-05-02 11:54:00']
['1399046101', '592.8800', '592.9800', '592.7310', '592.9800', '4100', '2014-05-02 11:55:01']
['1399046162', '592.6800', '592.9400', '592.6800', '592.8560', '3800', '2014-05-02 11:56:02']
['1399046223', '593.0300', '593.1100', '592.6800', '592.7000', '8800', '2014-05-02 11:57:03']
['1399046284', '592.8000', '592.9700', '592.7800', '592.9501', '4500', '2014-05-02 11:58:04']
['1399046349', '592.8500', '592.9400', '592.7800', '592.8216', '4900', '2014-05-02 11:59:09']
['1399046408', '592.7300', '592.9500', '592.6900', '592.8400', '8500', '2014-05-02 12:00:08']
['1399046469', '592.9020', '592.9500', '592.7400', '592.7400', '10100', '2014-05-02 12:01:09']
['1399046526', '592.8600', '592.9200', '592.5800', '592.8400', '13800', '2014-05-02 12:02:06']
['1399046582', '592.7900', '592.9200', '592.7710', '592.8650', '8100', '2014-05-02 12:03:02']
['1399046640', '592.7700', '592.9200', '592.6800', '592.8290', '6800', '2014-05-02 12:04:00']
['1399046700', '592.7400', '592.8000', '592.6100', '592.7650', '5900', '2014-05-02 12:05:00']
['1399046769', '592.8000', '592.8680', '592.6800', '592.7600', '6100', '2014-05-02 12:06:09']
['1399046831', '592.6100', '592.7300', '592.5147', '592.6700', '9900', '2014-05-02 12:07:11']
['1399046893', '592.5200', '592.7000', '592.5200', '592.6290', '6700', '2014-05-02 12:08:13']
['1399046941', '592.4300', '592.5900', '592.4300', '592.5500', '6000', '2014-05-02 12:09:01']
['1399047058', '592.7390', '592.7400', '592.3600', '592.4000', '15900', '2014-05-02 12:10:58']
['1399047061', '592.8300', '592.8300', '592.6900', '592.7200', '6700', '2014-05-02 12:11:01']
['1399047120', '593.0100', '593.0600', '592.7400', '592.8030', '18000', '2014-05-02 12:12:00']
['1399047237', '593.2286', '593.2795', '592.9800', '593.0900', '15100', '2014-05-02 12:13:57']
['1399047241', '593.2699', '593.2700', '592.9400', '593.1900', '17400', '2014-05-02 12:14:01']
['1399047303', '593.0600', '593.2600', '593.0600', '593.2600', '11100', '2014-05-02 12:15:03']
['1399047366', '593.2799', '593.2799', '593.1100', '593.1100', '7300', '2014-05-02 12:16:06']
['1399047429', '593.1800', '593.2000', '593.0400', '593.1700', '7100', '2014-05-02 12:17:09']
['1399047485', '593.1100', '593.2499', '593.1000', '593.1200', '8700', '2014-05-02 12:18:05']
['1399047545', '593.0520', '593.2500', '593.0520', '593.1200', '10500', '2014-05-02 12:19:05']
['1399047604', '592.9000', '593.1400', '592.8501', '593.0850', '7400', '2014-05-02 12:20:04']
['1399047664', '592.8050', '593.0700', '592.8000', '592.9501', '12300', '2014-05-02 12:21:04']
['1399047722', '592.7300', '592.9000', '592.7200', '592.7200', '7700', '2014-05-02 12:22:02']
['1399047789', '593.0200', '593.0200', '592.7900', '592.8000', '7400', '2014-05-02 12:23:09']
['1399047847', '592.9990', '593.1000', '592.9800', '593.0000', '4600', '2014-05-02 12:24:07']
['1399047905', '592.8700', '592.9700', '592.8200', '592.9600', '3700', '2014-05-02 12:25:05']
['1399047961', '592.9196', '592.9700', '592.8400', '592.8880', '4600', '2014-05-02 12:26:01']
['1399048032', '592.9500', '593.0100', '592.9200', '592.9650', '3000', '2014-05-02 12:27:12']
['1399048139', '593.0100', '593.0100', '592.7900', '592.9600', '6900', '2014-05-02 12:28:59']
['1399048142', '592.9300', '593.0150', '592.8500', '592.9800', '4300', '2014-05-02 12:29:02']
['1399048217', '592.9000', '592.9720', '592.8900', '592.9094', '3300', '2014-05-02 12:30:17']
['1399048265', '592.7910', '592.9000', '592.7600', '592.8500', '5900', '2014-05-02 12:31:05']
['1399048325', '592.9099', '592.9099', '592.7700', '592.7700', '1900', '2014-05-02 12:32:05']
['1399048391', '593.0000', '593.1200', '592.9600', '592.9600', '9400', '2014-05-02 12:33:11']
['1399048443', '593.0500', '593.1700', '593.0300', '593.0800', '8700', '2014-05-02 12:34:03']
['1399048507', '593.1196', '593.4500', '592.9600', '593.0300', '26200', '2014-05-02 12:35:07']
['1399048563', '592.7800', '593.1200', '592.6900', '593.0100', '14200', '2014-05-02 12:36:03']
['1399048620', '593.1200', '593.1200', '592.7800', '592.7800', '7200', '2014-05-02 12:37:00']
['1399048736', '593.0300', '593.2100', '593.0001', '593.1448', '5000', '2014-05-02 12:38:56']
['1399048741', '593.1500', '593.2550', '593.1100', '593.2500', '6900', '2014-05-02 12:39:01']
['1399048801', '593.1630', '593.2900', '593.0000', '593.1600', '10000', '2014-05-02 12:40:01']
['1399048868', '593.0500', '593.1900', '592.9700', '593.1000', '6100', '2014-05-02 12:41:08']
['1399048931', '593.0300', '593.0999', '592.9800', '593.0900', '4500', '2014-05-02 12:42:11']
['1399048986', '593.0000', '593.0500', '592.9100', '592.9800', '3800', '2014-05-02 12:43:06']
['1399049048', '592.9496', '592.9900', '592.8800', '592.9600', '3700', '2014-05-02 12:44:08']
['1399049105', '593.1300', '593.2899', '592.8500', '592.8500', '13900', '2014-05-02 12:45:05']
['1399049176', '593.1600', '593.1600', '593.0900', '593.0900', '900', '2014-05-02 12:46:16']
['1399049222', '593.0000', '593.2100', '593.0000', '593.1101', '9100', '2014-05-02 12:47:02']
['1399049339', '593.1500', '593.1800', '592.8600', '593.0500', '7900', '2014-05-02 12:48:59']
['1399049348', '592.9200', '593.1600', '592.9200', '593.1550', '4100', '2014-05-02 12:49:08']
['1399049405', '592.8887', '592.9600', '592.8700', '592.9000', '3100', '2014-05-02 12:50:05']
