['2004-11-05', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2004-11-05', 'S', 100.0, 37.51, 'D', 720076.0, 'D', 0]
['2004-11-05', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2004-11-05', 'S', 29100.0, 37.5, 'D', 690976.0, 'D', 0]
['2004-11-05', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2004-11-05', 'S', 7657.0, 37.11, 'D', 683319.0, 'D', 0]
['2004-11-05', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2004-11-05', 'S', 1600.0, 37.1, 'D', 681719.0, 'D', 0]
['2004-11-05', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2004-11-05', 'S', 400.0, 37.08, 'D', 681319.0, 'D', 0]
['2004-11-05', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2004-11-05', 'S', 2000.0, 37.07, 'D', 679319.0, 'D', 0]
['2004-11-05', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2004-11-05', 'S', 2600.0, 37.06, 'D', 676719.0, 'D', 0]
['2004-11-05', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2004-11-05', 'S', 6143.0, 37.05, 'D', 670576.0, 'D', 0]
['2004-11-05', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2004-11-05', 'S', 962.0, 37.03, 'D', 669614.0, 'D', 0]
['2004-11-05', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2004-11-05', 'S', 1000.0, 37.0, 'D', 668614.0, 'D', 0]
['2004-11-05', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2004-11-05', 'S', 1600.0, 37.09, 'D', 667014.0, 'D', 0]
['2004-12-30', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2004-12-30', 'M', 20000.0, 3.2657, 'A', 687014.0, 'D', 0]
['2005-02-09', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2005-02-09', 'M', 85000.0, 4.0938, 'A', 772014.0, 'D', 0]
['2005-02-09', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2005-02-09', 'S', 15000.0, 31.75, 'D', 757014.0, 'D', 0]
['2005-02-09', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2005-02-09', 'S', 10000.0, 31.5, 'D', 747014.0, 'D', 0]
['2005-02-09', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2005-02-09', 'S', 12500.0, 32.01, 'D', 734514.0, 'D', 0]
['2005-02-09', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2005-02-09', 'S', 7500.0, 32.1, 'D', 727014.0, 'D', 0]
['2005-02-09', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2005-02-09', 'S', 10000.0, 32.12, 'D', 717014.0, 'D', 0]
