2013-05-14-0000768251-0001298500,3202.0,3202.0,2013-05-14,1,2013-05-14,0000768251,0001298500,3202.0,3202.0,2013-05-14,1,2013-05-14,0000768251,0001298500
2013-05-14-0000768251-0001298500,-1181.0,2021.0,2013-05-14,2,2013-05-14,0000768251,0001298500,-1181.0,2021.0,2013-05-14,2,2013-05-14,0000768251,0001298500
2013-09-23-0000879585-0001244465,1976.0,151906.0,2013-09-23,1,2013-09-23,0000879585,0001244465,1976.0,151906.0,2013-09-23,1,2013-09-23,0000879585,0001244465
2009-02-19-0001140859-0001412636,1333.0,5832.0,2009-02-19,1,2009-02-19,0001140859,0001412636,2667.0,7166.0,2009-02-19,1,2009-02-19,0001140859,0001412636
2011-02-07-0000066740-0001378014,5062.0,12933.0,2011-02-07,1,2011-02-07,0000066740,0001378014,5061.24,12932.24,2011-02-07,1,2011-02-07,0000066740,0001378014
2011-02-07-0000066740-0001378014,,,,,,,,-1684.24,11248.0,2011-02-07,2,2011-02-07,0000066740,0001378014
2005-12-13-0000005272-0001236606,10229.0,106365.0,2005-12-13,1,2005-12-13,0000005272,0001236606,7530.0,103666.0,2005-12-13,1,2005-12-13,0000005272,0001236606
2011-02-07-0000066740-0001197743,-80.0,29499.0,2011-01-28,1,2011-02-07,0000066740,0001197743,-80.0,29499.0,2011-01-28,1,2011-02-07,0000066740,0001197743
2011-02-07-0000066740-0001197743,4918.0,34417.0,2011-02-07,2,2011-02-07,0000066740,0001197743,4917.93,34416.93,2011-02-07,2,2011-02-07,0000066740,0001197743
2011-02-07-0000066740-0001197743,,,,,,,,-1638.93,32778.0,2011-02-07,3,2011-02-07,0000066740,0001197743
2011-03-15-0000882095-0001314870,7662.0,17642.0,2011-03-15,1,2011-03-15,0000882095,0001314870,9194.0,19174.0,2011-03-15,1,2011-03-15,0000882095,0001314870
2011-03-15-0000882095-0001314870,-2810.0,14832.0,2011-03-15,2,2011-03-15,0000882095,0001314870,-3372.0,15802.0,2011-03-15,2,2011-03-15,0000882095,0001314870
2011-01-31-0000004962-0001392134,14634.0,65696.0,2011-01-31,1,2011-01-31,0000004962,0001392134,14634.0,65696.0,2011-01-31,1,2011-01-31,0000004962,0001392134
2011-01-31-0000004962-0001392134,-5301.0,60395.0,2011-01-31,2,2011-01-31,0000004962,0001392134,-5301.0,60395.0,2011-01-31,2,2011-01-31,0000004962,0001392134
2009-01-12-0000004281-0001127285,-33828.0,1487624.0,2009-01-12,1,2009-01-12,0000004281,0001127285,-43263.0,1478189.0,2009-01-12,1,2009-01-12,0000004281,0001127285
2013-09-30-0001467858-0001594133,142.0,1742.0,2013-12-31,1,2013-09-30,0001467858,0001594133,142.0,1742.0,2013-12-31,1,2013-09-30,0001467858,0001594133
2013-09-30-0001467858-0001594133,-86.0,1656.0,2013-12-31,2,2013-09-30,0001467858,0001594133,-86.0,1656.0,2013-12-31,2,2013-09-30,0001467858,0001594133
2013-09-30-0001467858-0001594133,-56.0,1600.0,2013-12-31,3,2013-09-30,0001467858,0001594133,-56.0,1600.0,2013-12-31,3,2013-09-30,0001467858,0001594133
2013-09-30-0001467858-0001594133,244.0,1844.0,2013-12-31,4,2013-09-30,0001467858,0001594133,244.0,1844.0,2013-12-31,4,2013-09-30,0001467858,0001594133
2013-09-30-0001467858-0001594133,-147.0,1697.0,2013-12-31,5,2013-09-30,0001467858,0001594133,-147.0,1697.0,2013-12-31,5,2013-09-30,0001467858,0001594133
2013-09-30-0001467858-0001594133,-97.0,1600.0,2013-12-31,6,2013-09-30,0001467858,0001594133,-97.0,1600.0,2013-12-31,6,2013-09-30,0001467858,0001594133
2013-09-30-0001467858-0001594133,258.0,1858.0,2013-12-31,7,2013-09-30,0001467858,0001594133,258.0,1858.0,2013-12-31,7,2013-09-30,0001467858,0001594133
2013-09-30-0001467858-0001594133,-156.0,1702.0,2013-12-31,8,2013-09-30,0001467858,0001594133,-156.0,1702.0,2013-12-31,8,2013-09-30,0001467858,0001594133
2013-09-30-0001467858-0001594133,-102.0,1600.0,2013-12-31,9,2013-09-30,0001467858,0001594133,-102.0,1600.0,2013-12-31,9,2013-09-30,0001467858,0001594133
2013-09-30-0001467858-0001594133,200.0,1600.0,2013-11-21,10,2013-09-30,0001467858,0001594133,200.0,1600.0,2013-11-21,10,2013-09-30,0001467858,0001594133
2013-09-30-0001467858-0001594133,,,,,,,,175.0,1575.0,2013-09-30,11,2013-09-30,0001467858,0001594133
2013-09-30-0001467858-0001594133,175.0,1575.0,2013-09-30,11,2013-09-30,0001467858,0001594133,-94.0,1481.0,2013-09-30,12,2013-09-30,0001467858,0001594133
2013-09-30-0001467858-0001594133,-181.0,1400.0,2013-09-30,13,2013-09-30,0001467858,0001594133,-181.0,1400.0,2013-09-30,13,2013-09-30,0001467858,0001594133
2013-09-30-0001467858-0001594133,-243.0,1643.0,2013-09-30,14,2013-09-30,0001467858,0001594133,-243.0,1643.0,2013-09-30,14,2013-09-30,0001467858,0001594133
2013-09-30-0001467858-0001594133,-130.0,1513.0,2013-09-30,15,2013-09-30,0001467858,0001594133,-130.0,1513.0,2013-09-30,15,2013-09-30,0001467858,0001594133
2013-09-30-0001467858-0001594133,-113.0,1400.0,2013-09-30,16,2013-09-30,0001467858,0001594133,-113.0,1400.0,2013-09-30,16,2013-09-30,0001467858,0001594133
